"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"1";0,036651717;0,650493031;1,018485079;0,029921934;0,329978691
"2";0,093880787;0,130898813;0,050928136;1,616657803;0,000745401
"3";0,220002582;0,055562828;0,046631753;1,557811891;0,170013073
"4";0,041001169;0,047661762;0,945695611;1,019147506;0,088204529
"5";0,118610165;0,083865972;0,321787116;1,062928183;1,915459243
"6";0,186093782;0,041254135;0,068420472;0,336406916;0,089950228
"7";0,130654265;0,002613496;0,292579997;0,001271791;0,857142759
"8";0,123558062;0,07620822;0,762801232;0,264718385;0,024234082
"9";0,05247299;0,122239337;0,887335981;0,198471126;0,246592091
"10";0,030906442;0,674134329;0,335318224;2,548036606;0,165072618
"11";0,216979849;0,021062677;3,185e-06;0,726060363;0,119938985
"12";0,093768377;0,21468083;0,065732691;0,170923626;0,38343393
"13";0,209912774;0,057687593;1,378755394;0,00407322;0,294327984
"14";0,254608375;0,055224908;0,715688767;0,10481846;0,24846366
"15";0,032624169;0,269811069;0,003652727;0,202980846;0,308949227
"16";0,046935352;0,231233007;0,649041012;1,999380362;0,894389207
"17";0,15505983;0,015251852;0,001962093;0,001563648;0,559066175
"18";0,113951778;0,174955778;0,160334137;0,061818473;0,577125447
"19";0,009229305;0,331294327;2,093115204;0,001974544;0,513379587
"20";0,229278916;0,001969912;0,006598736;0,443932976;1,216925832
"21";0,359858144;0,013600856;0,823481146;0,199351747;0,162354318
"22";2,067181405;0,008856358;0,427848599;0,015159651;0,002515684
"23";0,520652675;0,302486627;0,019767532;0,70891885;0,675556947
"24";0,314401179;0,507617275;0,040756376;0,503516891;1,185366194
"25";0,797314476;0,42736642;0,224965371;0,397021337;0,083181662
"26";0,48244012;0,549311308;0,039047754;0,452394812;3,116096901
"27";0,31780022;0,570619582;0,072105914;0,002509175;2,6361227
"28";0,448722465;0,24196493;0,355639991;0,651372086;0,940374936
"29";0,647922359;0,148878649;0,903164155;0,278700086;0,616841805
"30";1,28217381;0,001467256;0,29257531;3,567979334;0,096344937
"31";0,262873233;0,670719822;0,006827273;0,131431346;2,295316906
"32";0,685156787;0,167776208;0,018408786;2,7846e-05;0,8647573
"33";0,399267421;0,439201799;0,13935064;0,023963108;0,614192349
"34";0,462695564;0,26148377;0,268507163;0,003275124;0,943784246
"35";0,669449407;0,085889026;0,019724667;0,493821432;1,308798706
"36";0,336140313;0,42118083;0,065129528;0,11382206;1,683143028
"37";0,710326894;0,130657917;0,032648901;0,000531555;0,36421944
"38";1,83909895;0,262405616;1,026405226;0,122972134;0,091622053
"39";0,322898018;0,466803754;0,477609441;0,029581709;1,610619631
"40";0,240831799;0,537464503;0,353550483;0,001281873;1,642013823
"41";0,347436678;1,328471304;1,602833255;0,136654681;0,062530956
"42";0,013841776;0,480659496;0,109612047;1,95188686;0,01290723
"43";0,078877291;0,418463492;0,000324621;2,246386926;0,126968519
"44";0,002816247;0,685116332;1,208293205;1,39979174;0,0257561
"45";0,048265245;0,257753511;0,789317491;1,00833101;3,649240215
"46";0,083224568;0,326907713;0,000149437;0,569960846;0,209628128
"47";0,087178808;1,203225023;1,094596779;1,952490171;0,134949506
"48";0,117048744;0,290987187;0,090175722;1,040742316;0,346273567
"49";0,022569679;0,517741728;0,342669035;0,236772425;0,143459977
"50";0,007023961;0,729840227;0,220183886;0,067671107;0,696625051
"51";0,002629714;0,695798446;0,028825906;0,409290678;0,219687566
"52";0,033608467;0,356628463;0,201298609;0,347128624;0,002117427
"53";0,882555503;0,324343575;0,481585126;0,114182513;0,526011106
"54";0,236520573;0,002683323;0,527926765;0,233705138;0,166458588
"55";0,163521792;0,008698764;0,739650317;0,054506505;0,05151737
"56";0,113096622;0,005122878;0,645069789;0,400911782;0,136610898
"57";0,679509486;0,027765988;1,313500084;0,010490906;0,864607879
"58";0,002243279;0,023239116;0,082072875;0,600262356;0,861700248
"59";0,072417449;0,007334618;1,001862468;0,192718148;0,003454492
"60";0,286879847;0,425815227;1,100673871;0,050689032;0,491042696
"61";0,001237672;0,00278789;0,055918468;0,133405836;0,296105781
"62";0,047284959;6,09e-07;0,056778458;0,002389247;0,517998308
"63";0,131186203;0,056575892;2,076967779;0,002066387;0,850516997
"64";0,128545114;0,971903412;1,567570215;0,171943871;0,395728979
"65";0,088437713;0,253503049;0,112405893;1,962378336;0,042842699
"66";0,175300905;0,179735637;0,002796194;2,073379956;0,32341383
"67";0,037603681;0,199937722;1,039956256;1,29713596;0,111308294
"68";0,253226294;0,035209136;0,96745797;0,902683867;2,511036072
"69";0,155932529;0,180483163;0,003501503;0,599313049;0,083328405
"70";0,257553414;0,148782572;0,08150791;0,999370658;0,143220431
"71";0,148262712;0,216552425;0,387883531;0,633078477;0,350071798
"72";0,108484241;0,171667008;0,756914517;1,694933389;0,837342612
"73";0,15773547;0,20133342;0,136364709;0,718329202;0,14765006
"74";0,576950927;0,427065474;0,731459852;0,05990265;0,237480632
"75";0,305440179;0,599699124;0,34019887;2,183866656;0,148695226
"76";0,05985258;0,181373702;0,009714635;0,106290174;0,293275204
"77";2,05233506;0,001812973;0,202364868;0,004929699;0,692185379
"78";0,572050005;0,160594674;0,115384296;1,172693989;0,011041743
"79";0,81254857;0,299338745;0,122398579;0,694872962;0,345884055
"80";0,261188657;0,295213806;0,432153385;0,142899929;0,056537178
"81";1,186922307;0,006399239;0,044946596;2,816072329;0,604467519
"82";0,789680456;0,052282646;0,303580238;0,085316481;0,116028601
"83";0,456434929;0,326901294;1,386372311;0,006022072;0,016345577
"84";0,580423296;0,281225685;0,874439741;0,072810492;0,025360408
"85";0,43722238;0,499446195;1,279563824;0,006596278;0,001645587
"86";1,249828852;0,335301939;0,488599513;0,166682586;1,827769048
"87";0,065120871;0,001696121;0,355500064;0,473281609;0,195739923
"88";2,376589703;0,00404045;0,079087814;0,006176192;1,236293915
"89";0,436825011;0,391625178;0,478077558;0,507042599;0,161669966
"90";3,588426769;0,035028347;0,00040496;0,001707949;0,7036021
"91";1,636862034;0,31113938;2,386526863;0,164252085;0,002456945
"92";1,98053197;0,184945593;0,497114316;0,038318024;0,00646378
"93";1,368777145;0,425157667;0,033946857;0,115780223;0,001955152
