"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"Present_Tmax";7,207349514;8,126735402;0,900310071;1,162143522;1,79660533
"Present_Tmin";4,459200453;16,638879873;0,31834951;1,490641774;0,458018217
"RHmin";8,275099193;8,568616238;0,004902662;0,004834189;2,099796316
"RHmax";4,701503772;1,989701136;15,223362869;1,095003176;0,00031153
"Tmax_lapse";10,313752639;3,563815381;3,739347552;0,183347923;1,159770782
"Tmin_lapse";4,739494111;16,080693276;0,000294222;0,69519619;9,18642424
"WS";6,719857851;5,085943974;1,164327582;0,732146698;0,032881285
"LH";0,204208485;0,370840989;11,850739362;4,517925761;56,274954092
"CC1";6,478999745;5,701631461;0,607615219;1,047761998;0,037143164
"CC2";8,848745359;6,972161604;2,01727019;0,000388942;1,746157698
"CC3";9,316754323;5,518120818;2,738604065;0,332485065;0,906287027
"CC4";8,145441208;4,751997519;1,728021942;0,395680783;0,746059306
"lat";1,234154058;0,033861261;11,273281592;25,534032711;5,65901862
"lon";0,177403497;0,286336823;14,465681918;11,701232319;5,732394921
"DEM";5,04589388;2,887898481;13,444355552;11,456394385;5,698466709
"Slope";2,556979013;1,570032023;19,061376593;16,854252622;6,974508892
"Solar.radiation";2,266760186;2,38393284;0,530744651;22,431777265;0,001562705
"Next_Tmoy";9,30840271;9,468800903;0,93141445;0,364754677;1,489639165
